date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2066-01-01,1,st,Friday,5,1,0,53,2065-12-28,2066-01-03,1,1,January,2066-01-01,2066-01-31,1,2066,2066,2065,0,1,2066-01-01,01/2066,01/01/2066,20660101,1119,66-01,66,1,1,1,2066-01-01,2066-01-14,0,0,1,A
2066-01-02,2,nd,Saturday,6,2,1,53,2065-12-28,2066-01-03,1,1,January,2066-01-01,2066-01-31,1,2066,2066,2065,0,1,2066-01-02,01/2066,01/02/2066,20660102,1119,66-01,66,1,1,2,2066-01-01,2066-01-14,0,0,0,
2066-01-03,3,rd,Sunday,7,3,1,53,2065-12-28,2066-01-03,1,1,January,2066-01-01,2066-01-31,1,2066,2066,2065,0,1,2066-01-03,01/2066,01/03/2066,20660103,1119,66-01,66,1,1,3,2066-01-01,2066-01-14,0,0,0,
2066-01-04,4,th,Monday,1,4,0,1,2066-01-04,2066-01-10,1,1,January,2066-01-01,2066-01-31,1,2066,2066,2065,0,0,2066-01-04,01/2066,01/04/2066,20660104,1119,66-01,66,1,1,4,2066-01-01,2066-01-14,0,0,1,B
2066-01-05,5,th,Tuesday,2,5,0,1,2066-01-04,2066-01-10,1,1,January,2066-01-01,2066-01-31,1,2066,2066,2065,0,0,2066-01-05,01/2066,01/05/2066,20660105,1119,66-01,66,1,1,5,2066-01-01,2066-01-14,0,0,1,A
2066-01-06,6,th,Wednesday,3,6,0,1,2066-01-04,2066-01-10,1,1,January,2066-01-01,2066-01-31,1,2066,2066,2065,0,0,2066-01-06,01/2066,01/06/2066,20660106,1119,66-01,66,1,1,6,2066-01-01,2066-01-14,0,0,1,B
2066-01-07,7,th,Thursday,4,7,0,1,2066-01-04,2066-01-10,1,1,January,2066-01-01,2066-01-31,1,2066,2066,2065,0,0,2066-01-07,01/2066,01/07/2066,20660107,1119,66-01,66,1,1,7,2066-01-01,2066-01-14,0,0,1,A
2066-01-08,8,th,Friday,5,8,0,1,2066-01-04,2066-01-10,2,1,January,2066-01-01,2066-01-31,1,2066,2066,2065,0,0,2066-01-08,01/2066,01/08/2066,20660108,1119,66-01,66,1,2,8,2066-01-01,2066-01-14,0,0,1,B
2066-01-09,9,th,Saturday,6,9,1,1,2066-01-04,2066-01-10,2,1,January,2066-01-01,2066-01-31,1,2066,2066,2065,0,0,2066-01-09,01/2066,01/09/2066,20660109,1119,66-01,66,1,2,9,2066-01-01,2066-01-14,0,0,0,
2066-01-10,10,th,Sunday,7,10,1,1,2066-01-04,2066-01-10,2,1,January,2066-01-01,2066-01-31,1,2066,2066,2065,0,0,2066-01-10,01/2066,01/10/2066,20660110,1119,66-01,66,1,2,10,2066-01-01,2066-01-14,0,0,0,
