Table_Name	    Section_Description
ABBR_TYPE_TBL	Multiple ABBRs Code table
ABBR_TYPE_TBL	Multiple ABBRs Code table
ABBR_TYPE_TBL	Multiple ABBRs Code table
ABBR_TYPE_TBL	Multiple ABBRs Code table
ABBR_TYPE_TBL	Multiple ABBRs Code table
ACCDT_INS_HAZ	GER - Accident_Ins Hazard Tbl
ACCDT_INS_HAZ	GER - Accident_Ins Hazard Tbl
ACCDT_INS_HAZ	GER - Accident_Ins Hazard Tbl
ACCDT_INS_HAZ	GER - Accident_Ins Hazard Tbl
ACCDT_INS_HAZ	GER - Accident_Ins Hazard Tbl
ACCDT_INS_HAZ	GER - Accident_Ins Hazard Tbl
ACCDT_INS_HAZ	GER - Accident_Ins Hazard Tbl
ACCDT_INS_HAZ	GER - Accident_Ins Hazard Tbl
ACCDT_INS_TBL	GER - Accident Insurance Table
ACCDT_INS_TBL	GER - Accident Insurance Table
ACCDT_INS_TBL	GER - Accident Insurance Table
ACCDT_INS_TBL	GER - Accident Insurance Table
ACCDT_INS_TBL	GER - Accident Insurance Table
ACCDT_INS_TBL	GER - Accident Insurance Table
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	Address Definition
ACCDT_INS_TBL	GER - Accident Insurance Table
ACCDT_INS_TBL	GER - Accident Insurance Table
ACCDT_INS_TBL	GER - Accident Insurance Table
ACCDT_INS_TBL	GER - Accident Insurance Table
ACCOMPLISHMENTS	Person Accomplishments
ACCOMPLISHMENTS	Person Accomplishments
ACCOMPLISHMENTS	Person Accomplishments
ACCOMPLISHMENTS	Person Accomplishments
ACCOMPLISHMENTS	EE Test Results - subrec
ACCOMPLISHMENTS	EE Test Results - subrec
ACCOMPLISHMENTS	EE Licenses/Certifications
ACCOMPLISHMENTS	EE Licenses/Certifications
ACCOMPLISHMENTS	EE Licenses/Certifications
ACCOMPLISHMENTS	EE Licenses/Certifications
ACCOMPLISHMENTS	EE Licenses/Certifications
ACCOMPLISHMENTS	EE Licenses/Certifications
ACCOMPLISHMENTS	EE Licenses/Certifications
ACCOMPLISHMENTS	EE Languages
ACCOMPLISHMENTS	EE Languages
ACCOMPLISHMENTS	EE Languages
